FSGA,TANF_IND,REALPROP,FSTOTDE2,FSNONCIT,HWGT,TPOV,FSTANF,FSUNEARN,FSGRINC,FSTOTDED,FSWAGES,FSUSIZE,CERTHHSZ,LIQRESOR,FSDIS,RAWERND,FSNETINC,FSERNDED,FSSLTDED,WRK_POOR,FSERNDE2,FSEARN,FSSLTDE2,FSSTDDE2,FSNELDER,SHELDED,FSSSI,FSASSET,RAWNET,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,184.0,0.0,747.4949387192786,9.0,0.0,184.0,184.0,383.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,22.0,44.0,0.0,11.0,0.0,5.0,11.0,0.0,1.0,0.0
0.0,0.0,0.0,441.0,0.0,790.9869308826654,84.0,0.0,683.0,683.0,441.0,0.0,1.0,1.0,0.0,0.0,0.0,242.0,0.0,307.0,0.0,0.0,0.0,307.0,201.0,0.0,308.0,0.0,0.0,242.0,0.0,1.0,0.0
0.0,0.0,0.0,426.0,1.0,878.9891790964731,43.0,0.0,0.0,829.0,426.0,0.0,5.0,5.0,0.0,0.0,165.0,403.0,165.0,99.0,1.0,248.0,829.0,99.0,243.0,0.0,110.0,0.0,0.0,390.0,0.0,1.0,0.0
0.0,0.0,0.0,134.0,0.0,864.8845205265526,74.0,0.0,603.0,603.0,134.0,0.0,1.0,1.0,0.0,1.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,603.0,0.0,469.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,704.5805438707989,0.0,0.0,0.0,0.0,551.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,310.0,0.0,869.2314375616088,103.0,0.0,844.0,844.0,310.0,0.0,1.0,1.0,0.0,0.0,0.0,534.0,0.0,176.0,0.0,0.0,0.0,176.0,201.0,1.0,176.0,0.0,0.0,534.0,0.0,1.0,0.0
0.0,1.0,0.0,577.0,0.0,749.4024203653986,40.0,469.0,469.0,669.0,577.0,200.0,4.0,4.0,0.0,0.0,40.0,92.0,40.0,398.0,1.0,60.0,200.0,398.0,209.0,0.0,398.0,0.0,0.0,92.0,1.0,1.0,0.0
0.0,0.0,0.0,134.0,0.0,952.088838139332,81.0,0.0,890.0,890.0,134.0,0.0,2.0,2.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,23.0,0.0,0.0,732.0,0.0,1.0,0.0
0.0,1.0,0.0,139.0,0.0,997.1766915079196,60.0,390.0,993.0,993.0,139.0,0.0,4.0,4.0,0.0,1.0,0.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,603.0,0.0,854.0,1.0,1.0,0.0
0.0,1.0,0.0,231.0,0.0,711.655694960853,28.0,231.0,231.0,231.0,317.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,97.0,115.0,0.0,183.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,537.0,0.0,747.4949387192786,28.0,0.0,300.0,537.0,626.0,237.0,5.0,5.0,11.0,0.0,47.0,0.0,47.0,417.0,1.0,0.0,237.0,328.0,153.0,0.0,417.0,0.0,11.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,286.0,0.0,984.6907159197356,104.0,0.0,1144.0,1144.0,286.0,0.0,2.0,2.0,0.0,1.0,0.0,858.0,0.0,152.0,0.0,0.0,0.0,152.0,201.0,1.0,152.0,0.0,0.0,858.0,0.0,1.0,0.0
0.0,0.0,0.0,352.0,0.0,951.534062604676,64.0,0.0,0.0,1066.0,352.0,1066.0,4.0,4.0,0.0,0.0,213.0,714.0,213.0,0.0,1.0,213.0,1066.0,0.0,139.0,0.0,0.0,0.0,0.0,714.0,0.0,1.0,0.0
0.0,0.0,0.0,134.0,0.0,1003.1651133253492,113.0,0.0,1246.0,1246.0,134.0,0.0,2.0,2.0,0.0,1.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,363.0,0.0,1112.0,1.0,1.0,0.0
0.0,0.0,0.0,489.0,0.0,755.9227959233921,36.0,0.0,603.0,603.0,489.0,0.0,4.0,4.0,0.0,1.0,0.0,114.0,0.0,350.0,0.0,0.0,0.0,350.0,209.0,0.0,350.0,603.0,0.0,114.0,0.0,1.0,0.0
0.0,0.0,0.0,701.0,0.0,777.946179776418,111.0,0.0,0.0,903.0,701.0,903.0,1.0,1.0,0.0,0.0,181.0,202.0,180.0,387.0,1.0,270.0,903.0,387.0,201.0,0.0,388.0,0.0,0.0,201.0,0.0,1.0,0.0
0.0,1.0,0.0,134.0,0.0,762.9979470141016,28.0,310.0,310.0,310.0,134.0,0.0,2.0,2.0,26.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,26.0,176.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,0.0,0.0,551.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,312.0,0.0,1138.7174720868086,78.0,320.0,865.0,1513.0,312.0,648.0,5.0,5.0,9.0,0.0,130.0,1201.0,129.0,21.0,1.0,150.0,648.0,21.0,183.0,0.0,21.0,0.0,9.0,1200.0,1.0,1.0,0.0
0.0,0.0,0.0,259.0,0.0,830.1091842290721,76.0,0.0,623.0,623.0,259.0,0.0,1.0,1.0,992.0,0.0,0.0,364.0,0.0,125.0,0.0,0.0,0.0,125.0,201.0,1.0,125.0,312.0,992.0,363.0,1.0,1.0,0.0
0.0,0.0,0.0,517.0,0.0,726.8699045935958,69.0,0.0,562.0,562.0,517.0,0.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,383.0,0.0,0.0,0.0,383.0,201.0,1.0,405.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,402.0,0.0,711.655694960853,49.0,0.0,402.0,402.0,477.0,0.0,1.0,1.0,419.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,268.0,126.0,1.0,343.0,176.0,419.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,439.0,0.0,779.8308396397807,38.0,0.0,0.0,626.0,439.0,626.0,4.0,4.0,194.0,0.0,125.0,187.0,125.0,175.0,1.0,188.0,626.0,175.0,209.0,0.0,175.0,0.0,194.0,187.0,0.0,1.0,0.0
0.0,0.0,0.0,462.0,0.0,973.2686478004877,75.0,0.0,168.0,1243.0,462.0,1075.0,4.0,4.0,0.0,0.0,215.0,781.0,215.0,61.0,1.0,276.0,1075.0,61.0,200.0,0.0,61.0,0.0,0.0,781.0,0.0,1.0,0.0
0.0,0.0,0.0,304.0,0.0,1109.9305576091976,112.0,0.0,692.0,1546.0,304.0,854.0,3.0,3.0,0.0,1.0,171.0,1242.0,170.0,0.0,1.0,170.0,854.0,0.0,134.0,0.0,0.0,0.0,0.0,1241.0,0.0,1.0,0.0
0.0,0.0,0.0,264.0,0.0,839.8897475593062,80.0,0.0,657.0,657.0,264.0,0.0,1.0,1.0,0.0,0.0,0.0,393.0,0.0,130.0,0.0,0.0,0.0,130.0,201.0,1.0,130.0,0.0,0.0,393.0,0.0,1.0,0.0
0.0,0.0,0.0,602.0,0.0,747.7609155795811,27.0,0.0,0.0,602.0,758.0,602.0,6.0,6.0,0.0,0.0,120.0,0.0,120.0,417.0,1.0,0.0,602.0,261.0,30.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,147.0,0.0,705.4012962642041,13.0,0.0,147.0,147.0,551.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,13.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,134.0,0.0,962.9561307354808,84.0,0.0,924.0,924.0,134.0,0.0,2.0,2.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,2.0,0.0,18.0,0.0,790.0,1.0,1.0,0.0
0.0,0.0,0.0,226.0,0.0,765.4373824019225,30.0,0.0,414.0,414.0,226.0,0.0,3.0,3.0,267.0,0.0,0.0,188.0,0.0,92.0,0.0,0.0,0.0,92.0,201.0,0.0,92.0,0.0,267.0,188.0,0.0,1.0,0.0
0.0,1.0,0.0,134.0,0.0,788.258696840136,28.0,389.0,389.0,389.0,134.0,0.0,3.0,3.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,255.0,1.0,1.0,0.0
